id,province,district,ward,latitude,longitude,geo_status
VN26000125,Thành phố Hồ Chí Minh,Quận 4,Phường 3,10.754377,106.700404,matched
VN26000127,Thành phố Hồ Chí Minh,Quận 1,Phường Tân Định,10.792578,106.693896,adjusted
VN26000129,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,Phường An Phú,10.852698,106.747124,adjusted
VN26000131,Thành phố Hồ Chí Minh,Quận 3,Phường 12,10.78819,106.675866,matched
VN26000132,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,Phường Cát Lái,10.842523,106.705725,adjusted
VN26000134,Thành phố Hồ Chí Minh,Quận 7,Phường Tân Phú,10.733434,106.718932,adjusted
VN26000136,Thành phố Hồ Chí Minh,Quận 11,Phường 1,10.756027,106.640682,matched
VN26000137,Thành phố Hồ Chí Minh,Quận 7,Phường Tân Thuận Đông,10.747898,106.737875,matched
VN26000140,Thành phố Hồ Chí Minh,Quận 10,Phường 10,10.768982,106.672628,matched
VN26000143,Thành phố Hồ Chí Minh,Quận 7,Phường Tân Kiểng,10.745592,106.706726,adjusted
VN26000145,Thành phố Hồ Chí Minh,Quận 4,Phường 16,10.75697,106.713894,matched
VN26000149,Thành phố Hồ Chí Minh,Quận 4,Phường 15,10.753414,106.707111,matched
VN26000150,Thành phố Hồ Chí Minh,Quận 1,Phường Phạm Ngũ Lão,10.769647,106.686768,adjusted
VN26000151,Thành phố Hồ Chí Minh,Quận 7,Phường Tân Phú,10.727758,106.733384,adjusted
VN26000152,Thành phố Hồ Chí Minh,Quận 7,Phường Phú Mỹ,10.704768,106.729365,matched
VN26000153,Thành phố Hồ Chí Minh,Quận 5,Phường 2,10.755654,106.677147,matched
VN26000154,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,Phường Tam Phú,10.855418,106.734576,adjusted
